start_hour,center_hour,center_hour_mod,window_label_x,MEANf_z,VARf_z,SKEWf_z,KURTf_z,NBPEAKS_z,LEQf_z,ENRf_z,BGNf_z,SNRf_z,Hf_z,EAS_z,ECU_z,ECV_z,EPS_z,EPS_KURT_z,EPS_SKEW_z,ACI_z,NDSI_z,rBA_z,AnthroEnergy_z,BioEnergy_z,BI_z,ROU_z,ADI_z,AEI_z,LFC_z,MFC_z,HFC_z,ACTspFract_z,ACTspCount_z,ACTspMean_z,EVNspFract_z,EVNspMean_z,EVNspCount_z,TFSD_z,H_Havrda_z,H_Renyi_z,H_pairedShannon_z,H_gamma_z,H_GiniSimpson_z,RAOQ_z,AGI_z,nROI_z,aROI_z,ZCR_z,MEANt_z,VARt_z,SKEWt_z,KURTt_z,LEQt_z,BGNt_z,SNRt_z,MED_z,Ht_z,ACTtFraction_z,ACTtCount_z,ACTtMean_z,EVNtFraction_z,EVNtMean_z,EVNtCount_z,window_label_y
0.0,1.5,1.5,000.0-003.0,0.024974083931928067,-0.023415724575735552,-0.07667181994801793,0.07649693651619204,-0.13101699711178236,0.12628152975968807,0.1123376484205736,0.3659258161014807,0.10568226615706373,0.015067208838324643,0.11045491469500554,0.3012354951105608,0.15242131894632618,-0.10631809431963318,0.03805559480913813,-0.024024289841892085,-0.001404573912001493,0.07154578532051596,-0.00016183949722206107,0.02075064000349564,0.002484456986768187,-0.03739356546767002,0.002505882056686501,-0.04105457058753891,-0.059162169723977726,-0.008427638094960612,0.09111390863771869,-0.08261303299073039,-0.06378465220221924,-0.04982789808020001,0.09676914775611119,-0.06440748053432857,-0.058141921080817574,-0.06938943966662793,-0.05009333354333592,0.08203026723157544,-0.08768857880021932,0.014829293502351985,-0.031538711705814126,0.11364237991356954,-0.0006414403078953794,0.010136327200160325,-0.1456059041049227,0.0005719867477191628,-0.06299175603676642,-0.0063205856861270945,0.007864582671291614,-0.006612375545654797,0.014235564958870787,0.12251774077375947,0.32962252714056167,0.04471334800669103,0.06781234393899425,-0.12717064672239536,-0.05428562115794349,-0.11113525061163008,0.12373539966776193,-0.05029300041816479,-0.013035499578930935,-0.020260049395507528,000.0-003.0
0.5,2.0,2.0,000.5-003.5,0.02130499883554097,0.016087614576988585,-0.04927340141212561,0.07823496642688098,-0.14637282237638036,0.1162922047124484,0.12431050625397118,0.35949996572688814,0.10064583688222745,-0.013491943590076569,0.1286084758131967,0.3474907951090606,0.18285652160850052,-0.13395296338954749,0.017080328112164957,0.0044450183288594226,-0.006993180279623318,0.03391569671036831,-0.028917664699045036,-0.010380537876863407,0.0004784920237052767,-0.05397566616764258,0.02473148286122037,-0.06772089800526299,-0.08796672288754004,-0.0012181169632551087,0.10986189812037193,-0.07780282488210084,-0.04534225995481423,-0.031068046994233274,0.08146806109761785,-0.03305688006631238,-0.0672121822230108,-0.03127716287803499,-0.014990651199743504,0.07210340000702847,-0.03804733246761891,-0.008476336584927842,-0.060836263407967515,0.12443231315900818,-0.03453712080578921,0.011419575092420442,-0.09232995011978028,-0.015328837532688386,-0.09351545665075575,-0.022999809978562182,0.03120170335954424,-0.019866295487547828,0.007801153937386752,0.12333057065797738,0.2974990150404906,0.03378729542827501,0.05322292187439712,-0.1316288728542529,-0.08233947788442529,-0.09101883889879277,0.15051159285322172,-0.06131563020125794,0.010204620619767218,-0.02080228784850126,000.5-003.5
1.0,2.5,2.5,001.0-004.0,0.01786644610040174,0.030734990817020424,-0.049371812037468765,0.10386750431520671,-0.13579078710868567,0.06171897500775359,0.06356741426860803,0.30617152738173126,0.08714148731060138,0.0009777141123939836,0.08023386267062785,0.41968280300986116,0.2085292582522883,-0.19066840715979524,0.028986851568793603,-0.034377713039438665,0.033684198688978914,0.04054638209665069,-0.0037570405165891995,3.964593682975887e-05,-0.012542137505088695,-0.07214778913274293,0.011092704513416625,-0.05559552928890436,-0.04192249323994005,-0.0028580952231158263,0.09234239721384367,-0.04620427015936473,-0.019572456570938493,0.00830546839268768,0.07623876360080198,-0.027518683220976708,-0.07420536424362717,-0.022201800991690803,-0.025851255658107922,0.08831746438656882,-0.019348218047980138,0.01392481761099906,-0.0746435337974987,0.11884781034176614,-0.0487800050569928,0.0024191917723396105,-0.04970279373729459,-0.0026046227834560487,-0.11948088148334195,0.007333924322520557,0.0007292047131747211,-0.0215051834642382,-0.00023373974117482654,0.07691920702285829,0.3018731430144906,0.038648296862425005,0.04946180179568541,-0.1599759415737116,-0.07144521752920192,-0.0651955947158481,0.15939925311602998,-0.07344163995302444,0.017186690564354245,0.005332347373932688,001.0-004.0
1.5,3.0,3.0,001.5-004.5,-0.004095830294106223,0.01060609054784307,-0.1058473082759091,0.007643863817190798,-0.11684351582627014,0.08978938582026394,0.09409823427209908,0.2910972105024193,0.06914038715850483,0.055236566863556914,0.12303935376291436,0.41307516269704814,0.22289723576447287,-0.22233170690571885,0.004450576003024919,-0.06873671020776596,0.016773085065852268,-0.005196439446496202,-0.01699992997899261,-0.0015365835087279575,0.008349894918424557,-0.06438039004385687,0.00775868906358734,-0.049971356747546825,-0.0476283448379859,-0.017295763131438085,0.08334263460285349,-0.030341710441857635,0.030482751160154198,0.04006113376161487,0.12006797196073113,0.0281089894103894,-0.041968906083106675,0.04185382442122325,-0.025040833034232494,0.06503527915601255,0.006814843638309895,0.033450999696593695,-0.05919481222617977,0.11839272270117508,-0.021593400933881946,0.023913045343641283,0.0257073730472113,0.020599720320403674,-0.06863608246679119,-0.03081217771434718,0.003356820583432053,-0.02491032086529187,-0.009112109826786714,0.0956868486894855,0.22975985026267134,0.06297575220597226,0.02375498157988892,-0.15502329891788644,-0.08973225804434734,-0.07941276235105894,0.21390453296272963,-0.04756204227843732,-0.012301645036899792,0.009129474054717151,001.5-004.5
2.0,3.5,3.5,002.0-005.0,0.027590369719451915,-0.00560175109884403,0.016579300027970315,0.135568630754532,-0.058863347542644946,0.030661098573046226,0.05488178236273138,0.2123671248444733,0.06365710847380125,0.10696840591374558,0.1306467283977439,0.4277394198498443,0.247533997073434,-0.13108560876950592,-0.05892775384052153,-0.16254976384516126,0.014229766640464884,-0.04832177521513611,-0.0023324095154677992,0.0028560809935800364,-0.0010991154238731537,-0.0705161057150684,-0.002193960012749613,-0.1708949503677461,-0.1438301954927038,0.013062886281471618,0.013313987401422417,0.028163451177290078,0.04273029361188225,0.04949761798703953,0.07316889440023606,-0.00935769056371135,-0.05958259737681521,0.007284732762375073,0.02058418624172491,0.0947968082227637,0.07465870157016902,0.13509088631974528,-0.06579702357259408,0.17512623791302476,-0.0640241326565376,-0.021987846178087023,0.00098110555313402,-0.031884068288439954,-0.05907141884764674,-0.002837130238010857,-0.013817806570894828,-0.024994173904595195,-0.011606185046184225,0.055170453767763555,0.2186769726453577,0.07062885972440605,0.038443185397868826,-0.1601739527282983,-0.09125989111226578,-0.09875787490225367,0.1727089999322465,-0.1004185811350141,0.006687250792604081,-0.034550683296534136,002.0-005.0
2.5,4.0,4.0,002.5-005.5,-0.001616230329185926,-0.024747512467831533,0.12392915331764068,0.15630262132952852,0.008046675178486902,0.026880579307125826,0.02188564430987205,0.175444818905462,0.06662527971276248,0.1464983521762086,0.12267424977633459,0.4224800853967738,0.23869180784169527,-0.09757336838790447,-0.10811697861654787,-0.14925591118030615,-0.006437113692071862,-0.19258155647238315,0.010566469429573235,-0.0028397681870024312,-0.020545370889708946,-0.2129229131389751,-0.008338430633172831,-0.1608786297317013,-0.07334129194129745,-0.08216909685025303,-0.09600782337364842,0.015155642477384806,0.03139894201008124,0.029158495265286525,0.08747129068570067,0.0034493761359563977,-0.02600113057339839,0.04520499484198077,0.055624160626380086,0.01798198203815437,0.1792184136078732,0.16815085603901536,-0.08675324084284876,0.15634114258379989,-0.08779324396760359,0.0066597600664850915,0.049922092257133115,-0.08849660975803662,-0.09532808936148324,-0.02142524174421872,-0.004942216733876287,-0.01692168069496169,-0.008885837311467502,0.00113676633695481,0.1396683613402064,0.04902928963011131,0.009737904227626801,-0.13735951173320401,-0.06306451051462068,-0.0892791004606865,0.13135265409654537,-0.036037825195608324,0.02146621870207626,-0.02392705017161317,002.5-005.5
3.0,4.5,4.5,003.0-006.0,6.076733675549825e-05,0.016596616798736388,0.14682506343551138,0.1211829542323139,0.0625354154879961,0.03728342903928775,0.03616957866929441,0.16790456790316696,0.031776096504794064,0.23874482225778146,0.08385056472898665,0.3522870589526365,0.1840473128289088,0.12777568805094722,-0.10233714416470319,-0.1723876833356252,0.012749411979764473,-0.26659484774258807,-0.0006352169035394185,-0.006865861215854133,-0.014403176301427286,-0.14163083388576952,-0.005811116457541768,-0.2041616577265822,-0.04577931043713186,-0.039849237907071386,-0.11799975415186244,-0.0028006400933754693,-0.0047558212712552565,0.012090515507305392,0.08739134757562304,0.0013768089164838493,-0.013123207211780495,0.022031230889422746,0.016458650642917405,-0.028439278414998177,0.19566761399124386,0.21344096852141653,-0.07408332519917529,0.11503381516771187,-0.07261527355841566,-0.017679666299903484,0.05950054918186934,-0.0846693825224751,-0.11549851988095854,-0.02941075105953113,-0.01302542679171459,-0.024490374335791223,-0.011817685083415614,0.05091840686160605,0.08940419160892529,0.05324205146863051,0.028392886852362475,-0.14285754267413464,-0.0632927161304945,-0.06885702996757766,0.13155448202480036,-0.023084540189403664,0.01801783204638561,-0.010377799206030706,003.0-006.0
3.5,5.0,5.0,003.5-006.5,-0.0030130018788890574,-0.00527320968448996,0.1850870549512679,0.10940237045173884,0.041576468268759395,-0.04225210389542511,-0.0418034290215388,0.07974308401351937,-0.02354404752966949,0.25390778523409185,0.02494171824800488,0.30972833073315253,0.1868532424603741,0.2737150018556186,-0.08388052263168697,-0.13020936930159338,0.010904451801383188,-0.2110532807702656,0.013366990783588646,0.017924859036826352,0.01354451669809088,-0.044059435329147405,0.00012273759263499787,-0.21732181748585547,-0.04826541077916971,-0.028197677793795763,-0.11317984705007934,-0.0045387064506092955,-0.01913257934885226,-0.016598380244558435,0.039929921512768016,-0.025980724322915462,0.016531843736003516,-0.009068869591010874,-0.019568780111198177,-0.04316171425679871,0.20394860026867612,0.25826309876408826,-0.06156650580849197,0.12301392301479773,-0.10414132273124722,0.007502028673495257,0.08650342964313493,-0.0892836031620011,-0.07452623678304461,-0.0010126063651866174,0.017732852088966175,-0.040789539127626555,-0.004425653657938139,-0.03650793575228617,0.02947237154347897,0.004762452944580261,-0.0015747701022636724,-0.17918783159129775,-0.03829309503942286,-0.05658386724227489,0.09521895034619458,-0.0013997669800955034,0.014738220307329509,-0.00031112432643004654,003.5-006.5
4.0,5.5,5.5,004.0-007.0,0.012776723429191417,-0.005863764608535202,0.18878022222062313,0.14626041290053193,0.08695742200644697,-0.05151203382288209,-0.07810363646660409,0.0795428035760989,-0.09439774841207973,0.2435338048546839,-0.056355928227252744,0.1794226212197533,0.14863210710752484,0.15213477536958836,-0.06636121189041587,-0.13684737862259178,-8.934433246109476e-05,-0.12631506364167816,-0.008008169366631901,-0.013065275907315032,-0.02091572735188344,0.0801958423367672,-0.01855923687063849,-0.3158106960204569,-0.02248018991994173,-0.00945910292549214,-0.14569954500113902,0.017945810065034602,-0.02455688573364578,0.005931954793669416,-0.029882391358393424,-0.04732808924711418,-0.002309449195667002,-0.008478143355407801,-0.030106998309905205,-0.0497016906808782,0.19878184362840562,0.2702652457635196,-0.07645756013753666,0.12543499708744876,-0.06570401711895266,0.007117948532702503,0.024534263132230408,-0.06424667153498496,0.00037500465207965147,-0.030158537196661877,-0.002371701465372507,-0.050554927850984296,-0.005625751057746214,-0.05427054241912616,-0.0004794883396157019,-0.023302862002443282,0.018956892342646144,-0.1880916472740203,0.028760900020766676,0.011144879227574485,0.03822501931067283,-0.008338652207391337,-0.006086223912068076,-0.015982395346262276,004.0-007.0
4.5,6.0,6.0,004.5-007.5,0.005498700620767793,-0.01772096937974515,0.11483156328434041,0.12894094840083106,0.10664114176283561,-0.07037361322635269,-0.0560192635752104,0.007581262300889985,-0.13734391372161803,0.19678777457743238,-0.08400212847574623,0.05975980063674848,0.03739520358956922,0.012949327743643593,-0.10439889504574228,-0.16943057402581185,0.015557281664224022,0.014085713847444762,-0.009365801649643011,-0.02569055650267781,-0.02828138997394043,0.1072964896260279,-0.008176211440327498,-0.34688912739350514,-0.01710433761943932,0.02024925850222169,-0.1159422989517537,0.04349759289162549,-0.007417406233408445,-0.015242016086291972,-0.12680648231873476,-0.01944141557736639,0.0010066142431739492,-0.0096338301444459,0.08951975698063012,-0.028259227435610844,0.09629670410667668,0.19265536889565155,-0.04686176786879448,0.1015080808901758,-0.027568717865829692,-0.003780309209188572,0.07144350114111452,-0.006160707061424555,0.04245274354399184,-0.01823477312710532,-0.017340889325147744,-0.05127980221647042,-0.009224659988414905,-0.08170489278548085,-0.01734470094055763,-0.024882115128939328,0.00207177050837947,-0.22680148067916892,0.1793134079795625,0.14319135080362705,-0.0633649848737179,0.08108471459149318,0.026477099813233287,-0.024333296716828164,004.5-007.5
